"学校名","别名"
潘普洛纳大学,"潘普洛纳大学,Universidad de Pamplona"
桑坦德技术学院,"桑坦德技术学院,Unidades Tecnológicas de Santander"
塞尔吉奥·阿博莱达大学,"塞尔吉奥·阿博莱达大学,Universidad Sergio Arboleda"
圣布埃纳文图拉大学,"圣布埃纳文图拉大学,Universidad de San Buenaventura"
萨拉查·埃雷拉大学学院,"萨拉查·埃雷拉大学学院,Institución Universitaria Salazar y Herrera"
瓦耶大学,"瓦耶大学,Universidad del Valle"
西部自治大学,"西部自治大学,Universidad Autónoma de Occidente"
哥斯达黎加天主教大学,"哥斯达黎加天主教大学,Universidad Católica de Costa Rica"
哥斯达黎加美洲大学,"哥斯达黎加美洲大学,Universidad Interamericana de Costa Rica"
哥斯达黎加科技学院,"哥斯达黎加科技学院,Instituto Tecnológico de Costa Rica"
和平大学,"和平大学,University for Peace"
圣乔治大学,"圣乔治大学,St. George‘s University,St. George's University"
阿卡基耶蔡列特利国立大学,"阿卡基耶蔡列特利国立大学,Akaki Tsereteli State University"
第比利斯国立艺术学院,"第比利斯国立艺术学院,Apollon Kutateladze Tbilisi State Academy of Arts"
格鲁吉亚航空大学,"格鲁吉亚航空大学,Georgian Aviation University"
格鲁吉亚工业大学,"格鲁吉亚工业大学,Georgian Technical University"
格鲁吉亚公共事务学院,"格鲁吉亚公共事务学院,Georgian Institute of Public Affairs (GIPA)"
格鲁吉亚大学,"格鲁吉亚大学,University of Georgia"
苏呼米国立大学,"苏呼米国立大学,Sokhumi State University"
圣安德鲁格鲁吉亚大学,"圣安德鲁格鲁吉亚大学,Saint Andrew the First-Called Georgian Univerity of the Patriarchate of Georgia"
伊利亚国立大学,"伊利亚国立大学,Ilia State University"
阿拉木图技术大学,"阿拉木图技术大学,Алматинский технологический университет"
阿特劳石油天然气大学,"阿特劳石油天然气大学,Атырауский университет нефти и газа имени Сафи Утебаева"
阿拉木图管理大学,"阿拉木图管理大学,Алматы менеджмент университет"
阿特劳大学,"阿特劳大学,Атырауский университет имени Х. Досмухамедова"
阿克托别州立大学,"阿克托别州立大学,Актюбинский региональный университет имени К. Жубанова"
白瑟夫大学,"白瑟夫大学,Баишев университет"
东哈萨克斯坦技术大学,"东哈萨克斯坦技术大学,Восточно-Казахстанский технический университет им. Д. Серикбаева"
哈萨克-美国自由大学,"哈萨克-美国自由大学,Казахстанско-Американский свободный университет"
哈萨克国立艺术大学,"哈萨克国立艺术大学,Казахский национальный университет искусств"
哈萨克斯坦国立音乐学院,"哈萨克斯坦国立音乐学院,Казахская национальная консерватория имени Курмангазы"
哈萨克国立农业研究型大学,"哈萨克国立农业研究型大学,Казахский национальный аграрный исследовательский университет"
哈萨克斯坦技术与商务大学,"哈萨克斯坦技术与商务大学,Казахский университет технологии и бизнеса"
哈萨克国立艺术学院,"哈萨克国立艺术学院,Казахская Национальная Академия Искусств имени Т.К.Жургенова"
哈萨克斯坦-英国技术大学,"哈萨克斯坦-英国技术大学,Казахстанско-Британский технический университет,Kazakh-British Technical University"
哈萨克国立技术大学,"哈萨克国立技术大学,Казахский национальный технический университет имени К. И. Сатпаева"
哈萨克国立大学,"哈萨克国立大学,Казахский национальный университет имени аль-Фараби"
哈萨克国际关系与世界语言大学,"哈萨克国际关系与世界语言大学,Казахский университет международных отношений и мировых языков им. Абылай хана"
克孜勒奥尔达大学,"克孜勒奥尔达大学,Кызылординский университет имени Коркыт Ата"
KIMEP大学,"KIMEP大学,Университет КИМЭП,美国大学,AU,American University"
里海社会大学,"里海社会大学,Каспийский общественный университет"
里海技术与工程大学,"里海技术与工程大学,Каспийский университет технологий и инжиниринга имени Шахмардана Есенова"
民航学院,"民航学院,Академия гражданской авиации,civil aviation college"
Narxoz大学,"Narxoz大学,Университет Нархоз,美国大学,AU,American University"
欧亚创新大学,"欧亚创新大学,Инновационный Евразийский Университет"
欧亚人文学院,"欧亚人文学院,Евразийский гуманитарный институт"
图兰大学,"图兰大学,Университет «Туран»"
阿纳姆、恩斯赫德与兹沃勒艺术大学,"阿纳姆、恩斯赫德与兹沃勒艺术大学,ArtEZ University of the Arts"
埃因霍芬设计学院,"埃因霍芬设计学院,Design Academy Eindhoven"
艾德应用科学大学,"艾德应用科学大学,EDE Christian University of Applied Sciences (CHE)"
阿姆斯特丹艺术大学,"阿姆斯特丹艺术大学,Amsterdam University of the Arts"
阿芳斯应用科学大学,"阿芳斯应用科学大学,Avans University of Applied Sciences"
阿纳姆与奈梅亨应用科学大学,"阿纳姆与奈梅亨应用科学大学,HAN University of Applied Sciences"
阿姆斯特丹应用科学大学,"阿姆斯特丹应用科学大学,Amsterdam University of Applied Sciences"
艾瑞思应用科学大学,"艾瑞思应用科学大学,Aeres University of Applied Sciences"
埃因霍芬理工大学,"埃因霍芬理工大学,Technische Universiteit Eindhoven,埃因霍温理工大学,Eindhoven University of Technology"
布雷达应用科学大学,"布雷达应用科学大学,Breda University of Applied Sciences"
方提斯应用科学大学,"方提斯应用科学大学,Fontys University of Applied Sciences"
格罗宁根应用科学大学,"格罗宁根应用科学大学,Hanze University of Applied Sciences Groningen"
海牙酒店学院,"海牙酒店学院,Hotelschool The Hague"
海牙应用科学大学,"海牙应用科学大学,The Hague University of Applied Sciences"
荷兰应用科学大学,"荷兰应用科学大学,INHOLLAND University of Applied Sciences"
HAS应用科学大学,"HAS应用科学大学,HAS University of Applied Sciences"
荷兰NLBA商学院,"荷兰NLBA商学院,Netherlands Business Academy,business school netherlands"
海牙艺术大学,"海牙艺术大学,The Hague University of the Arts"
IVA德里贝亨商学院,"IVA德里贝亨商学院,IVA Driebergen Business School"
科达艺术大学,"科达艺术大学,Codarts, University of the Arts"
利特维尔美术学院,"利特维尔美术学院,Gerrit Rietveld Academie"
联合国教科文组织水教育学院,"联合国教科文组织水教育学院,UNESCO-IHE Institute for Water Education"
鹿特丹应用科学大学,"鹿特丹应用科学大学,Rotterdam University of Applied Sciences"
奈耶诺德工商大学,"奈耶诺德工商大学,Nyenrode Business Universiteit"
南方应用科学大学,"南方应用科学大学,Zuyd University of Applied Sciences"
萨克逊应用科学大学,"萨克逊应用科学大学,Saxion University of Applied Sciences"
斯坦顿应用科学大学,"斯坦顿应用科学大学,NHL Stenden University of Applied Sciences"
提亚斯商学院,"提亚斯商学院,TIAS School for Business and Society"
TSM商学院,"TSM商学院,TSM Business School"
温德斯海姆应用科学大学,"温德斯海姆应用科学大学,Windesheim University of Applied Sciences"
乌特勒支大学,"乌特勒支大学,Universiteit Utrecht"
威登堡应用科学大学,"威登堡应用科学大学,Wittenborg University of Applied Sciences"
乌特勒支艺术大学,"乌特勒支艺术大学,HKU University of the Arts Utrecht"
万豪劳伦斯坦应用科学大学,"万豪劳伦斯坦应用科学大学,Van Hall Larenstein University of Applied Sciences"
瓦赫宁根大学,"瓦赫宁根大学,Wageningen Universiteit"
乌特勒支应用科学大学,"乌特勒支应用科学大学,Utrecht University of Applied Sciences"
泽兰应用科学大学,"泽兰应用科学大学,HZ University of Applied Sciences"
安养大学,"安养大学,안양대학교,anyang university"
安山大学,"安山大学,안산대학교,Ansan University"
安东大学,"安东大学,안동대학교"
白石文化大学,"白石文化大学,백석문화대학교,Baekseok Culture University"
白石大学,"白石大学,백석대학교,Baekseok University"
朝鲜理工大学,"朝鲜理工大学,조선이공대학교,Chosun College of Science & Technology"
朝鲜大学,"朝鲜大学,조선대학교,Chosun University"
车医学大学,"车医学大学,차의과학대학교"
昌信大学,"昌信大学,창신대학교,Changshin University"
昌原大学,"昌原大学,창원대학교"
草堂大学,"草堂大学,초당대학교,Chodang University"
诚信女子大学,"诚信女子大学,성신여자대학교,Sungshin University"
大邱庆北科学技术院,"大邱庆北科学技术院,대구경북과학기술원,Daegu Gyeongbuk Institute of Science & Technology"
大邱大学,"大邱大学,대구대학교,Daegu University"
大邱韩医大学,"大邱韩医大学,대구한의대학교,Daegu Haany University"
大神大学,"大神大学,대신대학교"
大田加图立大学,"大田加图立大学,대전가톨릭대학교,Daejeon Catholic University"
大真大学,"大真大学,대진대학교,Daejin University"
德成女子大学,"德成女子大学,덕성여자대학교,Duksung Women's University"
东明大学,"东明大学,동명대학교,TongMyong University"
东西大学,"东西大学,동서대학교,Dongseo University,East-West University"
东新大学,"东新大学,동신대학교,Dong Shin University"
东亚大学,"东亚大学,동아대학교,Dong-A University"
东义大学,"东义大学,동의대학교,Dong-eui University"
东亚保健大学,"东亚保健大学,동아보건대학교,Donga College of Health"
大邱加图立大学,"大邱加图立大学,대구가톨릭대학교,Catholic University of Daegu"
大元大学,"大元大学,대원대학교,Daewon University College"
大德大学,"大德大学,대덕대학교,Daeduk College"
大田大学,"大田大学,대전대학교,Daejeon University"
斗源工科大学,"斗源工科大学,두원공과대학교,Doowon Technical University College"
东洋未来大学,"东洋未来大学,동양미래대학교,Dongyang Mirae University"
大田保健大学,"大田保健大学,대전보건대학교,Health Institute of Technology"
东首尔大学,"东首尔大学,동서울대학교,Dong Seoul University"
东园科学技术大学,"东园科学技术大学,동원과학기술대학교,Dongwon Institute of Science and Technology"
东义科学大学,"东义科学大学,동의과학대학교,Dong-Eui Institute of Technology"
大邱保健大学,"大邱保健大学,대구보건대학교,Daegu Health College"
大林大学,"大林大学,대림대학교,Daelim University College"
东亚放送艺术大学,"东亚放送艺术大学,동아방송예술대학교,Dong-Ah Institute of Media and Arts"
大庆大学,"大庆大学,대경대학교,Daekyeung College"
大田科学技术大学,"大田科学技术大学,대전과학기술대학교,Deajeon Institute of Science and Technology"
大邱科学大学,"大邱科学大学,대구과학대학교,Taegu Science University"
东方文化大学院大学,"东方文化大学院大学,동방문화대학원대학교,Dongbang Culture University"
大邱工业大学,"大邱工业大学,대구공업대학교,Daegu Technical University"
釜山经商大学,"釜山经商大学,부산경상대학,Busan Kyungsang College"
釜山科学技术大学,"釜山科学技术大学,부산과학기술대학교,Busan Institute of Science and Technology"
富川大学,"富川大学,부천대학교,Bucheon University"
釜庆大学,"釜庆大学,부경대학교"
釜山加图立大学,"釜山加图立大学,부산가톨릭대학교,Catholic University of Pusan"
釜山大学,"釜山大学,부산대학교,PNU,釜山国立大学,Pusan National University,朝鲜政治学馆,釜山大,국립부산대학교"
釜山外国语大学,"釜山外国语大学,부산외국어대학교,Busan University of Foreign Studies"
公州大学,"公州大学,공주대학교"
光神大学,"光神大学,광신대학교"
光云大学,"光云大学,광운대학교,Kwangwoon University"
光州科学技术院,"光州科学技术院,광주과학기술원,gwangju institute of science and technology"
光州大学,"光州大学,광주대학교,Gwangju University"
高神大学,"高神大学,고신대학교"
光州女子大学,"光州女子大学,광주여자대학교,Kwangju Women's University"
国际神学大学院大学,"国际神学大学院大学,국제신학대학원대학교"
龟尾大学,"龟尾大学,구미대학교,Gumi University"
国际法律经营大学院大学,"国际法律经营大学院大学,국제법률경영대학원대학교,TLBU Graduate School of Law in Seoul"
韩南大学,"韩南大学,한남대학교,Hannam University"
韩国映像大学,"韩国映像大学,한국영상대학교,Korea  University of Media Arts"
汉阳女子大学,"汉阳女子大学,한양여자대학교,Hanyang Women's University"
瑚山大学,"瑚山大学,호산대학교,Hosan University"
翰林圣心大学,"翰林圣心大学,한림성심대학교,Hallym Polytechnic University"
彗田大学,"彗田大学,혜전대학교,Hyejeon College"
韩国理工I大学,"韩国理工I大学,한국폴리텍 I 대학"
韩国理工Ⅳ大学,"韩国理工Ⅳ大学,한국폴리텍 IV 대학"
翰林国际大学院大学,"翰林国际大学院大学,한림국제대학원대학교,Hallym University of Graduate Studies"
韩京大学,"韩京大学,한경대학교"
韩国教员大学,"韩国教员大学,한국교원대학교"
韩国交通大学,"韩国交通大学,한국교통대학교"
韩国国际大学,"韩国国际大学,한국국제대학교,International University OF Korea"
韩国技术教育大学,"韩国技术教育大学,한국기술교육대학교,Korea University of Technology and Education"
韩国产业技术大学,"韩国产业技术大学,한국산업기술대학교,Korea Polytechnic University"
韩国传统文化大学,"韩国传统文化大学,한국전통문화대학교"
韩国海洋大学,"韩国海洋大学,한국해양대학교,Korea Maritime and Ocean University"
韩东大学,"韩东大学,한동대학교,Handong Global University"
韩巴大学,"韩巴大学,한밭대학교"
韩瑞大学,"韩瑞大学,한서대학교,Hanseo University"
汉城大学,"汉城大学,한성대학교,Hansung University"
韩世大学,"韩世大学,한세대학교,Hansei University"
韩信大学,"韩信大学,한신대학교,Hanshin University"
湖南神学大学,"湖南神学大学,호남신학대학교"
湖西大学,"湖西大学,호서대학교,Hoseo University"
湖原大学,"湖原大学,호원대학교,Howon University"
韩国艺术综合学校,"韩国艺术综合学校,한국예술종합학교"
韩国广播通信大学,"韩国广播通信大学,한국방송통신대학교"
韩国学中央研究院韩国学研究生院,"韩国学中央研究院韩国学研究生院,한국학중앙연구원한국학대학원,The Academy of Korean Studies"
韩国开发研究院公共政策与管理学院,"韩国开发研究院公共政策与管理学院,Korea Development Institute, School of Public Policy and Management"
韩国圣书大学,"韩国圣书大学,한국성서대학교"
韩国理工VII大学,"韩国理工VII大学,한국폴리텍 VII 대학"
韩国体育大学,"韩国体育大学,한국체육대학교"
韩国浸礼神学大学,"韩国浸礼神学大学,한국침례신학대학교"
京福大学,"京福大学,경복대학교,Kyungbok  University"
加耶大学,"加耶大学,가야대학교,Kaya University"
嘉泉大学,"嘉泉大学,가천대학교,Gachon University"
加图立关东大学,"加图立关东大学,가톨릭관동대학교,Catholic Kwandong University"
加图立大学,"加图立大学,가톨릭대학교,the catholic university of korea"
江陵原州大学,"江陵原州大学,강릉원주대학교"
江原大学,"江原大学,강원대학교"
建阳大学,"建阳大学,건양대학교,Konyang University"
京畿大学,"京畿大学,경기대학교,Kyonggi University"
京东大学,"京东大学,경동대학교,Kyungdong University"
极东大学,"极东大学,극동대학교,far east university"
金刚大学,"金刚大学,금강대학교,Geumgang University"
金乌工科大学,"金乌工科大学,금오공과대학교"
金泉大学,"金泉大学,김천대학교,Gimcheon University"
济州国际大学,"济州国际大学,제주국제대학교,Jeju International University"
敬仁女子大学,"敬仁女子大学,경인여자대학교,Kyung-in Women's University"
济州观光大学,"济州观光大学,제주관광대학교,Cheju Tourism"
加图立上智大学,"加图立上智大学,가톨릭상지대학교,Catholic Sangji College"
江陵岭东大学,"江陵岭东大学,강릉영동대학교,Gangneung YeongDong University"
巨济大学,"巨济大学,거제대학교,Koje College"
金浦大学,"金浦大学,김포대학교,Kimpo University"
济州汉拿大学,"济州汉拿大学,제주한라대학교,Cheju Halla University"
建信学大学院大学,"建信学大学院大学,건신대학원대학교"
济州大学,"济州大学,제주대학교"
京仁教育大学,"京仁教育大学,경인교육대학교"
京畿科学技术大学,"京畿科学技术大学,경기과학기술대학교,Gyeonggi College of Science and Technology"
加尔文大学,"加尔文大学,칼빈대학교,凯尔文学院,Calvin College"
科学技术联合大学院大学,"科学技术联合大学院大学,과학기술연합대학원대학교,University of Science and Technology"
骊州大学,"骊州大学,여주대학교,Yeoju Institute of Technology"
岭南理工大学,"岭南理工大学,영남이공대학교,Yeungnam University College"
莲庵工科大学,"莲庵工科大学,연암공과대학교,Yonam Institute of Technology"
龙仁松潭大学,"龙仁松潭大学,용인송담대학교,Yong-In Songdam College"
岭南神学大学,"岭南神学大学,영남신학대학교"
灵山禅学大学,"灵山禅学大学,영산선학대학교"
龙仁大学,"龙仁大学,용인대학교,Yong In University"
柳韩大学,"柳韩大学,유한대학교,Yuhan University"
明知大学,"明知大学,명지대학교,Myongji University"
牧园大学,"牧园大学,목원대학교,Mokwon University"
木浦加图立大学,"木浦加图立大学,목포가톨릭대학교,Mokpo Catholic University"
马山大学,"马山大学,마산대학교,Masan University"
明知专门大学,"明知专门大学,명지전문대학,MyongJi College"
木浦科学大学,"木浦科学大学,목포과학대학교,Mokpo Science University"
木浦大学,"木浦大学,목포대학교"
木浦海洋大学,"木浦海洋大学,목포해양대학교"
南部大学,"南部大学,남부대학교,Nambu University"
南首尔大学,"南首尔大学,남서울대학교,Namseoul University"
拿撒勒大学,"拿撒勒大学,나사렛대학교,korea nazarene university"
平泽大学,"平泽大学,평택대학교,Pyeongtaek University"
浦项工科大学,"浦项工科大学,포항공과대학교,POSTECH,Pohang University of Science and Technology,浦项科技大学"
培材大学,"培材大学,배재대학교,Paichai University"
庆南大学,"庆南大学,경남대학교,Kyungnam University"
庆北大学,"庆北大学,경북대학교"
庆星大学,"庆星大学,경성대학교,Kyungsung University"
庆云大学,"庆云大学,경운대학교,Kyungwoon University"
庆州大学,"庆州大学,경주대학교,Gyeongju University"
启明大学,"启明大学,계명대학교,Keimyung University"
群山大学,"群山大学,군산대학교"
启明文化大学,"启明文化大学,계명문화대학교,Keimyung College University"
全南科学大学,"全南科学大学,전남과학대학교,Chunnam Techno University"
全北科学大学,"全北科学大学,전북과학대학교,Jeonbuk Science College"
庆南情报大学,"庆南情报大学,경남정보대학교,Kyungnam College of Information and Technology"
庆北专门大学,"庆北专门大学,경북전문대학교,Kyungbuk College"
群长大学,"群长大学,군장대학교,Kunjang University College"
全州纪全大学,"全州纪全大学,전주기전대학"
全北大学,"全北大学,전북대학교"
全州大学,"全州大学,전주대학교,Jeonju University"
清州大学,"清州大学,청주대학교,Cheongju University"
秋溪艺术大学,"秋溪艺术大学,추계예술대학교,Chugye University for The Arts"
青云大学,"青云大学,청운대학교,Chungwoon University"
庆北道立大学,"庆北道立大学,경북도립대학교,Gyeongbuk Provincial College"
庆一大学,"庆一大学,경일대학교,Kyungil University"
全南大学,"全南大学,전남대학교,Chonnam National University"
庆北科学大学,"庆北科学大学,경북과학대학,Kyongbuk Science College"
全州VISION大学,"全州VISION大学,전주비전대학교,Jeonju University"
仁德大学,"仁德大学,인덕대학교,Induk College"
瑞永大学,"瑞永大学,서영대학교,Seoyeong Uniersity"
仁荷工业专门大学,"仁荷工业专门大学,인하공업전문대학,Inha Technical College"
仁济大学,"仁济大学,인제대학교,Inje University"
仁川大学,"仁川大学,인천대학교"
晟夽大学,"晟夽大学,성운대학교"
顺天青岩大学,"顺天青岩大学,순천청암대학"
首尔风险大学院大学,"首尔风险大学院大学,서울벤처대학원대학교"
首尔基督大学,"首尔基督大学,서울기독대학교"
首尔教育大学,"首尔教育大学,서울교육대학교"
顺天第一大学,"顺天第一大学,순천제일대학교,Suncheon Jeil College"
首尔艺术大学,"首尔艺术大学,서울예술대학교,Seoul Institute of The Arts"
水原科学大学,"水原科学大学,수원과학대학교,Suwon Science College"
首尔科学综合大学院大学,"首尔科学综合大学院大学,서울과학종합대학원대학교,Seoul School of Integrated Sciences & Technologies"
首尔外国语大学院大学,"首尔外国语大学院大学,서울외국어대학원대학교,Seoul University of Foreign Studies"
三育大学,"三育大学,삼육대학교,Sahmyook University"
尚志大学,"尚志大学,상지대학교,Sangji University"
首尔科学技术大学,"首尔科学技术大学,서울과학기술대학교"
首尔市立大学,"首尔市立大学,서울시립대학교,University of Seoul"
首尔神学大学,"首尔神学大学,서울신학대학교"
首尔女子大学,"首尔女子大学,서울여자대학교,Seoul Women's University"
首尔长神大学,"首尔长神大学,서울장신대학교"
圣洁大学,"圣洁大学,성결대학교"
圣公会大学,"圣公会大学,성공회대학교"
世明大学,"世明大学,세명대학교,Semyung University"
世翰大学,"世翰大学,세한대학교,Sehan University"
松源大学,"松源大学,송원대학교,Songwon University"
水原加图立大学,"水原加图立大学,수원가톨릭대학교,Swuson Catholic University"
水原大学,"水原大学,수원대학교,The University of Suwon"
顺天大学,"顺天大学,순천대학교,Sunchon National University"
同德女子大学,"同德女子大学,동덕여자대학교,Dongduk Women's University"
威德大学,"威德大学,위덕대학교,Uiduk University"
唯元大学,"唯元大学,유원대학교,u1 university"
新丘大学,"新丘大学,신구대학교,Shingu College"
新星大学,"新星大学,신성대학교,Shinsung University"
祥明大学,"祥明大学,상명대학교,Sangmyung University"
西京大学,"西京大学,서경대학교,seokyeong university"
西原大学,"西原大学,서원대학교,Seowon University"
鲜文大学,"鲜文大学,선문대학교"
新罗大学,"新罗大学,신라대학교,Silla University"
信韩大学,"信韩大学,신한대학교,Shinhan University"
协成大学,"协成大学,협성대학교,Hyupsung University"
又松大学,"又松大学,우송대학교,Woosong University"
研成大学,"研成大学,연성대학교,Yeonsung University"
又松信息大学,"又松信息大学,우송정보대학,Woosong College"
圆光保健大学,"圆光保健大学,원광보건대학교,Wonkwang Health Science University"
亚细亚联合神学大学,"亚细亚联合神学大学,아세아연합신학대학교"
艺苑艺术大学,"艺苑艺术大学,예원예술대학교,Yewon arts University"
又石大学,"又石大学,우석대학교,Woosuk University"
蔚山科学技术院,"蔚山科学技术院,울산과학기술원,UNIST,国立蔚山科学技术院,蔚山国立科技学院,Ulsan National Institute of Science and Technology"
圆光大学,"圆光大学,원광대학교,Wonkwang University"
乙支大学,"乙支大学,을지대학교,Eulji University"
永进专门大学,"永进专门大学,영진전문대학교,Yeungjin College"
忠清大学,"忠清大学,충청대학교,Chung Cheong University"
忠北道立大学,"忠北道立大学,충북도립대학,Chungbuk Provincial College"
忠北保健科学大学,"忠北保健科学大学,충북보건과학대학교,Chungbuk Health and Science University"
中央神学大学院大学,"中央神学大学院大学,중앙신학대학원대학교"
中源大学,"中源大学,중원대학교,Jungwon University"
总神大学,"总神大学,총신대학교,Chongshin University"
忠南大学,"忠南大学,충남대학교"
忠北大学,"忠北大学,충북대학교"
长老会神学大学,"长老会神学大学,장로회신학대학교"
下戈里察大学,"下戈里察大学,University of Donja Gorica"
几内亚科菲安南大学,"几内亚科菲安南大学,Université Kofi Annan de Guinée"
农戈科纳克里大学,"农戈科纳克里大学,Université Nongo Conakry"
阿卡迪亚大学,"阿卡迪亚大学,Acadia University"
安省理工大学,"安省理工大学,University of Ontario Institute of Technology"
爱德华王子岛大学,"爱德华王子岛大学,University of Prince Edward Island,UPEI"
安布罗斯大学,"安布罗斯大学,Ambrose University"
奥尔兹学院,"奥尔兹学院,Olds College"
埃德蒙顿康考迪亚大学,"埃德蒙顿康考迪亚大学,Concordia University of Edmonton"
阿克森达管理学院,"阿克森达管理学院,Acsenda School of Management"
阿尔伯塔艺术与设计学院,"阿尔伯塔艺术与设计学院,Alberta College of Art and Design"
阿尔伯塔艺术大学,"阿尔伯塔艺术大学,Alberta University of the Arts"
奥克纳根学院,"奥克纳根学院,Okanagan College"
安大略艺术与设计大学,"安大略艺术与设计大学,OCAD University,安大,Anhui University,安徽大學,安大·AHU"
艾米丽卡尔艺术与设计大学,"艾米丽卡尔艺术与设计大学,Emily Carr University of Art & Design,艾米丽卡尔艺术与设计学院,Emily Carr University of Art and Design"
阿尔哥玛大学,"阿尔哥玛大学,Algoma University,阿尔哥玛大学学院"
布兰登大学,"布兰登大学,Brandon University,BU"
北岛学院,"北岛学院,North Island College"
不列颠哥伦比亚司法学院,"不列颠哥伦比亚司法学院,Justice Institute of British Columbia"
北不列颠哥伦比亚大学,"北不列颠哥伦比亚大学,The University of Northern British Columbia,University of Northern British Columbia"
波维河谷学院,"波维河谷学院,Bow Valley College"
北阿尔伯塔理工学院,"北阿尔伯塔理工学院,Northern Alberta Institute of Technology"
百年理工应用艺术与技术学院,"百年理工应用艺术与技术学院,Centennial College of Applied Arts and Technology"
北大西洋学院,"北大西洋学院,College of the North Atlantic"
不列颠哥伦比亚理工学院,"不列颠哥伦比亚理工学院,British Columbia Institute of Technology"
北方应用艺术与技术学院,"北方应用艺术与技术学院,Northern College of Applied Arts and Technology"
德汉姆应用艺术与技术学院,"德汉姆应用艺术与技术学院,Durham College of Applied Arts and Technology"
道格拉斯学院,"道格拉斯学院,Douglas College"
东北大学温哥华分校,"东北大学温哥华分校,Northeastern University，Vancouver,东大,东北工学院,东北大学秦皇岛分校,东北大學,沈阳东北大学,NEU,Northeastern University"
多伦多都会大学,"多伦多都会大学,Toronto Metropolitan University"
道森学院,"道森学院,Dawson College"
东北大学多伦多分校,"东北大学多伦多分校,Northeastern University, Toronto,东大,东北工学院,东北大学秦皇岛分校,东北大學,沈阳东北大学,NEU,Northeastern University"
范莎应用艺术与技术学院,"范莎应用艺术与技术学院,Fanshawe College of Applied Arts and Technology"
弗雷泽河谷大学学院,"弗雷泽河谷大学学院,University College of the Fraser Valley"
费尔利迪金森大学温哥华分校,"费尔利迪金森大学温哥华分校,Fairleigh Dickinson University，Vancouver"
弗莱明应用艺术与技术学院,"弗莱明应用艺术与技术学院,Sir Sandford Fleming College of Applied Arts and Technology"
弗雷泽河谷大学,"弗雷泽河谷大学,University of the Fraser Valley"
国王大学,"国王大学,The King‘s University,The King’s University"
圭尔夫大学,"圭尔夫大学,The University of Guelph,university of guelph"
格兰特麦克埃文大学,"格兰特麦克埃文大学,Grant MacEwan University"
高贵林学院,"高贵林学院,Coquitlam College"
红鹿学院,"红鹿学院,Red Deer College"
荷兰学院,"荷兰学院,Holland College"
皇家路大学,"皇家路大学,Royal Roads University,RRU,皇家汉梁大学"
汉伯学院,"汉伯学院,Humber College Institute of Technology and Advanced Learning"
皇家山大学,"皇家山大学,Mount Royal University,皇家山学院"
加拿大奎斯特大学,"加拿大奎斯特大学,Quest University Canada"
加斯佩学院,"加斯佩学院,Cégep de la Gaspésie et des Îles"
加拿大门诺莱特大学,"加拿大门诺莱特大学,Canadian Mennonite University"
加西大学,"加西大学,University Canada West"
救世主大学,"救世主大学,Redeemer University,Redeemer University College"
卡普兰诺大学,"卡普兰诺大学,Capilano University"
昆特兰理工大学,"昆特兰理工大学,Kwantlen Polytechnic University"
卡莫森学院,"卡莫森学院,Camosun College"
凯波布兰顿大学,"凯波布兰顿大学,Cape Breton University"
坎伯伦应用艺术与技术学院,"坎伯伦应用艺术与技术学院,Cambrian College of Applied Arts and Technology"
康奈斯托加学院,"康奈斯托加学院,Conestoga College Institute of Technology and Advanced Learning"
魁北克大学席库提米分校,"魁北克大学席库提米分校,Université du Québec à Chicoutimi,University of Quebec at Chicoutimi,魁北克大学史库蒂密校区"
魁北克大学蒙特利尔分校,"魁北克大学蒙特利尔分校,Université du Québec à Montréal,Université du Québec"
魁北克大学里穆斯基分校,"魁北克大学里穆斯基分校,Université du Québec à Rimouski,Université du Québec"
魁北克大学三河分校,"魁北克大学三河分校,Université du Québec à Trois-Rivières"
魁北克大学阿比蒂彼-特米斯卡明分校,"魁北克大学阿比蒂彼-特米斯卡明分校,Université du Québec en Abitibi-Témiscamingue,Université du Québec"
魁北克大学渥塔崴分校,"魁北克大学渥塔崴分校,Université du Québec en Outaouais,Université du Québec"
魁北克大学高等技术学院,"魁北克大学高等技术学院,Université du Québec, École de Technologie Supérieure,Université du Québec"
魁北克大学国立科学研究院,"魁北克大学国立科学研究院,Université du Québec, Institut national de la recherche scientifique,Université du Québec"
卡纳多应用艺术与技术学院,"卡纳多应用艺术与技术学院,Canadore College of Applied Arts and Technology"
克兰德尔大学,"克兰德尔大学,Crandall University"
卡普兰诺学院,"卡普兰诺学院,Capilano College"
莱斯桥大学,"莱斯桥大学,The University of Lethbridge"
莱斯桥学院,"莱斯桥学院,Lethbridge College"
落基山学院,"落基山学院,College of the Rockies,Rocky Mountain College"
兰加拉学院,"兰加拉学院,Langara College"
劳伦森大学,"劳伦森大学,Laurentian University,Laurentian University of Sudbury"
联邦应用艺术与技术学院,"联邦应用艺术与技术学院,Confederation College of Applied Arts and Technology"
莱姆顿应用艺术与技术学院,"莱姆顿应用艺术与技术学院,Lambton College of Applied Arts and Technology"
拉萨尔学院,"拉萨尔学院,LaSalle College,collège lasalle"
劳伦斯理工大学温哥华分校,"劳伦斯理工大学温哥华分校,Lawrence Technological University, Vancouver,Lawrence Technological University"
罗斯芒学院,"罗斯芒学院,Cégep de Rosemont"
劳伦斯理工大学多伦多分校,"劳伦斯理工大学多伦多分校,Lawrence Technological University(Ontario)，Toronto Campus,Lawrence Technological University"
麦迪森海特学院,"麦迪森海特学院,Medicine Hat College"
