"标签名","学校名"
THE200,柏林工业大学
THE200,安特卫普大学
THE200,根特大学
THE200,隆德大学
THE200,乌普萨拉大学
THE200,斯德哥尔摩大学
THE200,查尔姆斯工业大学
THE200,哥本哈根大学
THE200,丹麦理工大学
THE200,奥胡斯大学
THE200,阿姆斯特丹自由大学
THE200,马斯特里赫特大学
THE200,奈梅亨大学
THE200,特文特大学
THE200,埃因霍温理工大学
THE200,蔚山国立科技学院
THE200,浦项科技大学
THE200,成均馆大学
THE200,巴塞罗那大学
THE200,赫尔辛基大学
THE200,奥斯陆大学
THE200,罗马第一大学
THE200,博洛尼亚大学
THE200,比萨高等师范学院
THE200,开普敦大学
THE200,维也纳大学
THE200,都柏林圣三一学院
THE200,巴黎西岱大学
THE200,鲁汶大学（法语）
海外院校,安纳巴巴吉穆赫塔尔大学
海外院校,乌尔米耶大学
海外院校,亚兹德大学
海外院校,伊斯法罕理工大学
海外院校,伊朗科技大学
海外院校,卡尚大学
海外院校,大不里士大学
海外院校,库尔德斯坦大学
海外院校,德黑兰大学
海外院校,沙希德巴霍纳科尔曼大学
海外院校,沙里夫理工大学
海外院校,设拉子大学
海外院校,马什哈德菲尔多西大学
海外院校,马赞达兰大学
海外院校,布加勒斯特大学
海外院校,布加勒斯特理工大学
海外院校,特兰西瓦尼亚大学
海外院校,厄瓜多尔天主教大学
海外院校,拉丁美洲大学
海外院校,下诺夫哥罗德国立技术大学
海外院校,东北联邦大学
海外院校,乌法国立石油技术大学
海外院校,乌里扬诺夫斯克国立技术大学
海外院校,伊万诺沃国立化工大学
海外院校,伏尔加格勒国立大学
海外院校,俄罗斯国立社会大学
海外院校,克麦罗沃国立大学
海外院校,北高加索联邦大学
海外院校,喀山国立医科大学
海外院校,喀山国立研究技术大学
海外院校,圣彼得堡国立交通大学
海外院校,圣彼得堡国立建筑大学
海外院校,坦波夫国立大学
海外院校,库尔斯克国立医科大学
海外院校,梁赞国立医科大学
海外院校,沃罗涅日国立技术大学
海外院校,罗斯托夫国立经济大学
海外院校,莫斯科国立语言大学
海外院校,莫斯科理工大学
海外院校,萨拉托夫国立医科大学
海外院校,萨马拉国立技术大学
海外院校,西伯利亚国立工业大学
海外院校,西伯利亚联邦大学
海外院校,鄂木斯克国立技术大学
海外院校,中欧大学
海外院校,佩奇大学
海外院校,佩斯大学
海外院校,塞格德大学
海外院校,德布勒森大学
海外院校,欧布达大学
海外院校,乌兹别克斯坦国立大学
海外院校,塔什干国立法律大学
海外院校,塔什干国立经济大学
海外院校,塔什干都灵理工大学
海外院校,亚的斯亚贝巴大学
海外院校,埃里温国立大学
海外院校,第比利斯国立大学
海外院校,伊巴丹大学
海外院校,伊洛林大学
海外院校,尼日利亚大学
海外院校,拉各斯州立大学
海外院校,科文纳特大学
海外院校,佩拉德尼亚大学
海外院校,科伦坡大学
海外院校,哈希姆大学
海外院校,穆塔大学
海外院校,约旦大学
海外院校,约旦科技大学
海外院校,俄罗斯联邦政府财经大学
海外院校,俄罗斯门捷列夫化工大学
海外院校,阿尔泰国立大学
海外院校,克拉古耶瓦茨大学
海外院校,尼什大学
海外院校,诺维萨德大学
海外院校,内罗毕大学
海外院校,肯雅塔大学
海外院校,冰岛大学
海外院校,雷克雅未克大学
海外院校,加德满都大学
海外院校,特里布万大学
海外院校,北苏门答腊大学
海外院校,巴查查兰大学
海外院校,达拉斯大学
海外院校,加纳大学
海外院校,海岸角大学
海外院校,达卡大学
海外院校,博茨瓦纳大学
海外院校,卢布尔雅那大学
海外院校,新戈里察大学
海外院校,马里博尔大学
海外院校,卢森堡大学
海外院校,阿塞拜疆国立经济大学
海外院校,哈里发大学
海外院校,沙迦大学
海外院校,迪拜加拿大大学
海外院校,迪拜美国大学
海外院校,哥斯达黎加大学
海外院校,喀土穆大学
海外院校,苏丹科技大学
海外院校,大马士革大学
海外院校,科希策技术大学
海外院校,马杰伊·贝尔大学
海外院校,委内瑞拉中央大学
海外院校,阿拉伯美国大学
海外院校,巴拿马大学
海外院校,拉脱维亚大学
海外院校,里加斯特拉迪什大学
海外院校,斯普利特大学
海外院校,萨格勒布大学
海外院校,斯法克斯大学
海外院校,苏斯大学
海外院校,迦太基大学
海外院校,索菲亚大学
海外院校,索非亚技术大学
海外院校,科威特大学
海外院校,纳米比亚大学
海外院校,蒙古国立大学
海外院校,达累斯萨拉姆大学
海外院校,马耳他大学
海外院校,麦克雷雷大学
海外院校,黑山大学
海外院校,阿联酋大学
海外院校,沙迦美国大学
海外院校,亚历山大大学
海外院校,十月六日大学
海外院校,坦塔大学
海外院校,埃及日本科技大学
海外院校,开罗大学
海外院校,曼苏拉大学
海外院校,本哈大学
海外院校,法尤姆大学
海外院校,米尼亚大学
海外院校,艾因夏姆斯大学
海外院校,苏伊士大学
海外院校,苏伊士运河大学
海外院校,开罗美国大学
海外院校,塔林大学
海外院校,塔林理工大学
海外院校,爱沙尼亚生命科学大学
海外院校,爱沙尼亚艺术学院
海外院校,塔尔图大学
海外院校,拉合尔管理科学大学
海外院校,内德工程技术大学
海外院校,卡拉奇大学
海外院校,巴利亚大学
海外院校,巴哈瓦尔布尔伊斯兰大学
海外院校,巴基斯坦工程与应用科学学院
海外院校,戈马尔大学
海外院校,拉合尔大学
海外院校,拉合尔教育大学
海外院校,旁遮普大学
海外院校,白沙瓦大学
海外院校,费萨拉巴德农业大学
海外院校,维捷布斯克国立医科大学
海外院校,白俄罗斯国立大学
海外院校,华沙生命科学大学
海外院校,居里夫人大学
海外院校,弗罗茨瓦夫大学
海外院校,弗罗茨瓦夫环境与生命科学大学
海外院校,格但斯克大学
海外院校,格但斯克工业大学
海外院校,波兹南工业大学
海外院校,罗兹大学
海外院校,罗兹工业大学
海外院校,雅盖隆大学
海外院校,华沙大学
海外院校,德拉萨大学
海外院校,EAFIT大学
海外院校,拉塞尔大学
海外院校,拉萨尔大学
海外院校,桑坦德工业大学
海外院校,科尔多瓦大学
海外院校,麦德林大学
海外院校,哥伦比亚国立大学
海外院校,哈瓦那大学
海外院校,哈萨克农业技术大学
海外院校,南哈萨克斯坦大学
海外院校,哈萨克国立师范大学
海外院校,欧亚国立大学
海外院校,圣母大学
海外院校,圣约瑟夫大学
海外院校,黎巴嫩大学
海外院校,黎巴嫩美国大学
海外院校,贝鲁特美国大学
海外院校,立陶宛健康科学大学
海外院校,考纳斯工业大学
海外院校,维尔纽斯大学
海外院校,利马大学
海外院校,太平洋大学
海外院校,秘鲁天主教大学
海外院校,米尼奥大学
海外院校,里斯本大学学院
海外院校,阿威罗大学
海外院校,里斯本大学
海外院校,波尔图大学
海外院校,科英布拉大学
海外院校,尼科西亚大学
海外院校,塞浦路斯大学
海外院校,呵叻皇家大学
海外院校,孔敬大学
海外院校,宋卡王子大学
海外院校,拉卡邦先皇技术学院
海外院校,泰国商会大学
海外院校,清迈大学
海外院校,玛哈沙拉坎大学
海外院校,玛希隆大学
海外院校,诗纳卡琳威洛大学
海外院校,朱拉隆功大学
海外院校,乌日戈罗德国立大学
海外院校,伊万诺-弗兰科夫斯克国立石油天然气技术大学
海外院校,利沃夫国立大学
海外院校,哈尔科夫国立无线电电子大学
海外院校,基辅国立大学
海外院校,基辅国立经济大学
海外院校,沃伦国立大学
海外院校,西乌克兰国立大学
海外院校,哈尔科夫国立大学
海外院校,乌拉圭奥特大学
海外院校,蒙得维的亚大学
海外院校,克里特大学
海外院校,塞萨利大学
海外院校,帕特雷大学
海外院校,约阿尼纳大学
海外院校,雅典大学
海外院校,雅典国立技术大学
海外院校,泗水大学
海外院校,泗水理工学院
海外院校,印度尼西亚大学
海外院校,中佛罗里达大学
海外院校,丹佛大学
海外院校,乔治梅森大学
海外院校,伍斯特理工学院
海外院校,佐治亚大学
海外院校,佐治亚州立大学
海外院校,佛罗里达农工大学
海外院校,佛罗里达国际大学
海外院校,佛罗里达大西洋大学
海外院校,佛罗里达理工学院
海外院校,佛蒙特大学
海外院校,俄亥俄大学
海外院校,俄克拉荷马大学
海外院校,俄克拉荷马州立大学
海外院校,俄勒冈大学
海外院校,克拉克大学
海外院校,克拉克森大学
海外院校,内华达大学拉斯维加斯分校
海外院校,内布拉斯加大学医学中心
海外院校,内布拉斯加大学林肯分校
海外院校,北亚利桑那大学
海外院校,北伊利诺伊大学
海外院校,北德克萨斯大学
海外院校,南佛罗里达大学
海外院校,南卫理公会大学
海外院校,南达科他大学
海外院校,南阿拉巴马大学
海外院校,印第安纳州立大学
海外院校,史密斯学院
海外院校,史蒂文斯理工学院
海外院校,圣何塞州立大学
海外院校,圣地亚哥州立大学
海外院校,堪萨斯州立大学
海外院校,塔尔萨大学
海外院校,天普大学
海外院校,奥克兰大学
海外院校,奥本大学
海外院校,威廉玛丽学院
海外院校,孟菲斯大学
海外院校,密歇根理工大学
海外院校,密苏里大学圣路易斯分校
海外院校,密苏里科技大学
海外院校,密西西比大学
海外院校,密西西比州立大学
海外院校,康涅狄格大学
海外院校,弗吉尼亚联邦大学
海外院校,德克萨斯大学埃尔帕索分校
